text;label;augmented_text
"I've read a lot of comments about the film and how it's so hard for people to believe that it is a sequel to Henry Fool, and even though it technically is, I think that Fay Grim needs to be looked at as an entirely different film. Just because it is the sequel doesn't mean that it has to be a direct continuation of the first, and I enjoyed that so much about it. The whole point of the film was to change direction from the first, which makes sense because the movie isn't called Henry Fool 2, it's Fay Grim. All that aside, the film, I thought, was so well made and thought out that it actually surprised me. I was expecting to rent another nearly-released-straight-to-video film and have to endure 2 hours of bad editing and an almost hard to follow story-line (aka parker's last direct to video feature the Oh in Ohio) but this was so surprisingly well focused that it almost doesn't seem so, which I absolutely loved. There are so many nuances in the film making and writing that I crave to see in films, but never do. The cinematography was brilliant due to it's simplicity and truly making the film seem 'Grim' throughout - in terms of setting. The writing was so well put together as well, whoever said this movie isn't as witty as Henry Fool needs to watch again and actually listen; I almost can't even begin to explain how actually hilarious it was, and pertinent. And well, Parker Posey, who could complain? The scene in which Fool and Jalal were talking in the dark was so captivating and emotional. And I thought the spy-ness throughout the film was just so hilarious and spot on (in hindsight because i do agree that at times during you kind of felt lost). The main thing that struck me so powerfully about the film, and i believe the point of the film, was Parker's love and naivety about Fool, which was so endearing and turned, yes very quickly, from denial to outright passion. The last five minutes of the film were perfect. Obviously there were things that weren't excellent, but nothing is perfect; some of the acting was poor, and at times I did think that some of the new back story and dialogue about terrorism got a little hard to follow and out of hand, but in the end you got it and didn't even mind that at the time it may have slipped from your comprehension. (This may also have to do with Goldblum's tendency to talk extremely fast) On the whole I would say that it was probably one of the best films I've seen this year; stylistically pleasing, clever and witty writing, performances that were so impressive I now have gained new respect for some of the actors, and a truly touching film, and don't forget, a complete departure from Fool. Which was the point.";1;"I ' ve read a lot of comments about the film and how it ' s so hard for citizenry to believe that it is a subsequence to Henry Tomfool, and yet though information technology technically exist, I think that Fay Grim needs to be search at as an all different film. Scarcely because it live the continuation doesn ' t mean that it has to be a direct continuation of the first, and I enjoyed that so much about it. The whole point of the film cost to change direction from the first, which makes sense because the film isn ' tetraiodothyronine call Henry Mark deuce, it ' s Fay Grim. Wholly that aside, the moving picture show, Iodine remember, was so intimately create and thought out that it actually surprised me. Single was bear to rent another nearly - released - straight - to - video film and have to endure 2 hours of forged editing and an almost tough to follow story - line (aka parker ' s last direct to video feature the Oh in Ohio) merely this was so surprisingly easily focused that information technology almost doesn ' t seem so, which One absolutely screw. Thither are so many nuances in the movie fashioning and write that Iodin crave to visit in films, merely never do. The motion picture photography was brilliant due to information technology ' s simplicity and truly making the cinema seem ' Grim ' throughout - in footing of setting. The writing embody so well put together equally well, whoever say this moving picture international relations and security network ' t every bit witty as Henry Fool need to take in once more and actually listen; Ane almost posterior ' t even begin to excuse how actually screaming it was, and pertinent. And easily, Parker Posey, who could complain? The scene in which Fool and Jalal comprise talking in the wickedness was so captivating and excited. And I thought the spy - ness throughout the movie was barely so hilarious and spot on (in hindsight because i dress agree that at time during you form of felt lose ). The primary thing that struck pine tree state so strongly astir the motion picture show, and i trust the period of the plastic film, was Charlie parker ' s love and naiveness about Fool, which constitute and then endearing and rick, yes rattling promptly, from denial to outright passion. The utmost five minutes of the film were perfect. Obviously there were things that weren ' t excellent, but nothing be consummate; some of the playing be wretched, and at times Iodine did conceive that some of the fresh back tale and talks astir terrorism vex a little hard to travel along and out of bridge player, merely in the end you got information technology and didn ' t even mind that at the metre information technology crataegus oxycantha have steal from your inclusion. (This may likewise take in to coiffe with Goldblum ' mho tendency to talk extremely fast) On the unit Iodine would suppose that information technology cost probably one of the best films I ' ve seen this twelvemonth; stylistically pleasing, clever and witty writing, performances that be so impressive I straight off have gained fresh deference for some of the worker, and a genuinely touching film, and don ' t forget, a complete departure from Fool. Which was the point."
A dreary and pointless bit of fluff (bloody fluff, but fluff). Badly scripted, with inane and wooden dialogue. You do not care if the characters (indeed, even if the actors themselves) live or die. Little grace or charm, little action, little point to the whole thing. Perhaps some of the set and setting will interest--those gaps between the boards of all the buildings may be true to the way life was lived. The framework encounter is unnecessary and distracting, and the Hoppalong Cassidy character himself is both boring and inept.;0;A drab and pointless scrap of fluff (bloody fluff, but bagatelle ). Poorly scripted, with inane and wooden dialogue. You answer non care if the characters (so, even if the doer themselves) live or die. Little grace beaver state magical spell, minuscule legal action, little distributor point to the unhurt affair. Perchance some of the curing and setting will interest - - those gaps between the table of all the building english hawthorn be true to the style life be lived. The framework encounter is unneeded and distracting, and the Hoppalong Cassidy case himself is both boring and awkward.
Portrays the day to day stark reality of survival on a ranch in the old west. Outstanding acting by both principal actors. This doesn't even feel like a movie...you feel like you're there. Animal activists should beware...many scenes are obviously not just realistic...they are real.;1;Portrays the sidereal day to solar day stark reality of survival on a cattle ranch in the old west. Outstanding performing by both main doer. This doesn ' t still palpate alike a movie. .. you feel same you ' re at that place. Animal militant should mind. .. many scene be obviously not just realistic. .. they are real.
This was excellent. Touching, action-packed, and perfect for Kurt Russel. I loved this movie, it deserves more than 5.3 or so stars. This movie is the story of an obsolete soldier who learns there is more to life than soldiering, and people who learn that there is a time for fighting, a need to defend. I cried, laughed and mostly sat in awe of this story. Good writing job for an action flick, and the plot was appropriate and fairly solid. The ending wasn't twisty, but it was still excellent. If you like escape from New York, or rooting for the underdog, this movie is for you. Not an undue amount of gore or violence, it was not difficult to watch in that respect. Something for everyone.;1;This was first class. Touching, action - packed, and perfect for Kurt Russel. I do it this movie, it deserves more than 5. 3 oregon so stars. This motion picture is the account of an disused soldier who learns in that respect is more to life than soldiering, and people world health organization learn that there is a time for fight down, a need to fight back. Single call out, laughed and by and large sat in awe of this story. Good writing task for an action motion picture, and the plot cost appropriate and fairly solid. The ending wasn ' t twisty, only it was however excellent. If you wish escape from New House of york, operating theater rooting for the underdog, this movie is for you. Non an unreasonable quantity of gore beaver state ferocity, it was not hard to see in that respect. Something for everyone.
The world at war is one of the best documentaries about world war 2. <br /><br />The 24 episodes cover the war and what it was like in the countries involved in it. The first episode tells us how the Hitler came to power, and how he was able to build up one of the strongest armies in the world. They also fucus on the military actions taken during the war, and the holocaust. One of the strongest and best documentaries ever made. All of you must watch this. Perfection! 10/10<br /><br />;1;The humankind at war is one of the best documentaries about human beings state of war 2. <br /> <br /> The twenty four episodes cover the war and what it was like in the countries involved in it. The world class installment tell united states how the Adolf hitler came to powerfulness, and how he be able to build upward i of the strongest army in the earth. They likewise fucus on the military actions film during the war, and the final solution. One of the substantial and well documentary film ever so prepare. All of you mustiness watch this. Perfection! x / 10 <br /> <brigate rosse / >
<br /><br />Paul Verhoeven finally bombed out on this one. He became a joke on himself. Once again we have a film which includes sex and violence, immorality, leering at women and lots of attitiude talk between the characters and dollying pans.<br /><br />Its all for nothing. Because their is no action at all in this film. It fudges all its set pieces. All the actors give the kind of performances form a Verhoeven film. In other words rampant over acting on almost every level. Starship Troopers got away with it because it was such a macho world the characters inhabited. In this scientists are acting the same way. Sorry Paul but Soldiers and scientist are not really made of the same mindset.<br /><br />One major flaw in the plot was that after escaping for that one night to do evil things Kevin Bacons character then returns back to the science lab where we have already spent more then enough time watching these animated manniquens (Elizabeth Shue excepted) walk and talk. Why not show the extent of what the character could do in the outside world. How could they possibly track him if he could be anywhere at all??? Think os all the different things that could have been done with this concept, both in terms of story and characterisation. Then look at what this film does and you really how badly done and concieved the whole project really was.<br /><br />More insulting is the Doco on the DVD where everyone is claiming that Verhoeven is some kind of MAd Genius. Well one out of two isnt that bad.<br /><br />This film has nothing of note in it. Just like the title says.<br /><br />Hollow!!!;0;< br /> <bromine /> Paul Verhoeven at last flunk out on this one. Helium become a joke on himself. Erst again we get a film which includes sexual practice and violence, immorality, leering at adult female and wad of attitiude talk between the characters and dollying pans. <br /> <red brigades /> It all for nothing. Because their is no action at all in this film. Information technology wangle all its set pieces. All the actors yield the form of functioning shape a Verhoeven film. In former words rampant over acting on almost every degree. Starship Trooper got away with it because information technology be such a butch world the characters inhabited. In this scientist be act the like way. Sorry Paul but Soldiers and scientist be not really gain of the like mindset. <br /> <bromine /> Unity major fault in the plot was that after escaping for that i nox to do vicious thing Kevin Bacons character then generate back to the science lab where we have already spent more and then decent time look out these animated manniquens (Elizabeth Shue exclude) manner of walking and talk. Wherefore not show the extent of what the character could do in the outside world. How could they mayhap track him if he could equal anyplace at all? ?? Think os totally the dissimilar things that could give been practice with this concept, both in damage of story and characterisation. Then look at what this moving picture perform and you real how badly done and concieved the whole project truly be. <bromine /> <br /> More insulting be the Doco on the DVD where everyone is claiming that Verhoeven is some kind of MAd Genius. Well one extinct of two isnt that bad. <br /> <br /> This cinema has cipher of note in it. Just like the title say. <br /> <brigate rosse /> Hole! !!
There is not a speck of entertainment in this entire film. There's not one scary, funny, or even interesting scene in this film. It advertises itself as a horror, then goes on to call itself a comedy. It doesn't even ATTEMPT humor. Neither does it attempt to be scary.<br /><br />In order to not be bored by this film, you would have to be one of the most easily entertained people on earth. If you like this movie even a LITTLE BIT than you have no standard for what you watch at all. I'm having a very difficult time trying to understand what the filmmakers were trying to accomplish with this. Its not funny, scary, shocking, or intriguing. So was it supposed to be a drama? Because it really wasn't dramatic either.<br /><br />Please just do yourself a favor and don't watch this film. Life is too precious to be wasting 90 minutes of it watching this.;0;On that point is not a speck of entertainment in this entire motion picture show. There ' atomic number 16 not one scary, queer, or still interesting scene in this pic. Information technology advertises itself as a horror, then goes on to call itself a funniness. It doesn ' thymine even ATTEMPT humor. Neither do it attempt to equal scary. <red brigades /> <br /> In order to non be bored by this pic, you would have to be one of the most easily entertained the great unwashed on dry land. If you wish this motion picture show even a small BIT than you have no touchstone for what you determine at all. Iodin ' m have a very hard time prove to understand what the filmmakers were try to accomplish with this. Its non funny, scarey, outrage, or intriguing. So was it supposed to exist a drama? Because it truly wasn ' t striking either. <br /> <brigate rosse /> Please just do yourself a favor and preceptor ' t watch this cinema. Life history follow likewise precious to be wasting xc minutes of information technology watch this.
"The people who are bad-mouthing this film are those who don't understand film to begin with. These are the people who love movie blockbusters and adverse to any movie that doesn't star Leonardo DiCaprio. Wilder Napalm is a neat little film that may seem quirky and maybe even stupid at first, but what it lacks in plot, it more than makes up for in substance.<br /><br />One thing in particular about the movie that impressed me was it's use of music, which plays a large part. Those students of film music will notice how important music is in the movie, both in Vida and Wilder's life, and in the background. Wilder's theme, Vida's theme, and Wallace's theme are all heard in the opening sequence, and it is funny how some of the lyrics play out. For instance, in the scene where the men are singing ""Duke of Earl"", Vida is with Wilder when the men sing something like ""She is my girl"", and then she goes over to Wallace to give him something when the men sing the lyric ""She will be my girl"" cleverly showing the tension between the two brothers There are all sorts of little intricacies like this inside the movie, and while it may look like a flop on the outside, the real student of film will notice how good this movie really is.";1;"The people world health organization be bad - mouthing this film are those world health organization don ' t understand film to begin with. These are the people who love movie blockbusters and adverse to any movie that doesn ' t virtuoso Leonardo DiCaprio. Billy wilder Napalm is a bully little plastic film that crataegus laevigata seem quirky and possibly even stupid at 1st, but what information technology lacks in plot, it more than makes up for in center. <br /> <br /> One thing in particular about the movie that affect me was information technology ' s manipulation of music, which roleplay a bombastic part. Those pupil of film music will find how important music is in the movie, both in Vida and Thornton wilder ' s life history, and in the background. Thornton wilder ' s theme, Vida ' s subject, and Alfred russel wallace ' s theme are all heard in the opening sequence, and it be shady how some of the lyrics play out. For illustration, in the prospect where the men embody singing "" Duke of Earl "", Vida embody with Billy wilder when the men babble something alike "" She be my girl "", and and so she goes over to Wallace to leave him something when the human being sing the lyrical "" She will equal my girl "" smartly showing the tenseness between the two sidekick There are all sort of little intricacies like this inner the movie, and while it may look like a washout on the exterior, the tangible scholarly person of moving picture show testament notice how good this movie really is."
"I caught this movie on the Sundance Channel on cable one late afternoon. You might say ""Who Loves the Sun"" is a perfect leisurely pastime of a story, why ever not. You get to hang out with the trio: Lukas Haas is Will (returning after abruptly leaving everyone years ago), Molly Parker is Maggie (we learn she's very much part of the family Bloom), and Adam Scott is Daniel (is he friend or foe or fiancé), by the scenic Falcon Lake, Manitoba, Canada, captured in graphic compositions juxtaposed in vivid summer colors against sunshine and shadows. And supporting the trio are two more family members in the revealing mix: Wendy Crewson is Mom Mary Bloom, and R.H. Thomson is Dad Arthur Bloom. Writer-director Matt Bissonnette has delivered an ingenious unfolding of story-line and its various tentacle links - worry not, Haas may have a 'listless' face, but humor will come as Parker and Scott enter the circle of friends reunited, wry smiles will break and knowing delights stir. Dialogs may be terse or even nil, yet we'd get the flavor of what's cooking, bemused or wondering.<br /><br />Yes, ""Who Loves the Sun"" can very well be categorized as a sleeper gem. The chemistry between all five principals sure gels and 'combusts', giving an energetic ensemble performance. After all, it's all in the family, and the film sure doesn't take itself too seriously.<br /><br />Looks like the official site is still available at ""wholovesthesun.com"" and there are information on the soundtrack by Mac McCaughan (Portastatic with guitar tunes and strings) where score excerpts are being played, and behind the scenes production notes, interview with writer-director-producer Bissonnette on how the movie and concept came about, the casting and more. Have always appreciate Molly Parker since her spare yet mesmerizing performance in 1996 Lynne Stopkewich's 'Kissed', and she's married to Bissonnette, who ""wrote the Maggie part for Molly.""";1;"One catch this movie on the Sundance Duct on cablegram one late afternoon. You power order "" Who Loves the Sunlight "" is a utter leisurely pastime of a narrative, wherefore of all time non. You engender to hang out with the deuce ace: Lukas Haas equal Volition (returning after dead leave everyone years ago ), Molly Parker is Maggie (we learn she ' s very much part of the house Efflorescence ), and Adam Scott is Daniel (be he acquaintance or foe or fiancé ), by the scenic Falcon Lake, Manitoba, Canada, catch in graphic compositions juxtapose in vivid summer colour against sunshine and phantasma. And substantiate the trio equal two more kinsperson members in the revealing mix: Wendy Crewson is Mom Mary Bloom, and R. H. Thomson is Papa Arthur Rosiness. Author - music director Mat Bissonnette has delivered an ingenious unfolding of story - line and its various tentacle links - concern non, Haas may have a ' listless ' face, merely humor bequeath come as Parker and Scott enter the band of friends reunited, dry grin will infract and do it delight stir. Dialogs whitethorn make up terse operating theater even cipher, yet we ' 500 make the flavour of what ' s cookery, throw beaver state enquire. <br /> <bromine /> Yes, "" Who Screw the Sunday "" can really substantially be categorized as a sleeper jewel. The interpersonal chemistry between all five principals sure gels and ' combusts ', giving an industrious ensemble performance. After all, it ' s all in the family, and the film indisputable doesn ' t take itself too in earnest. <br /> <br /> Looks like the prescribed land site is nonetheless available at "" wholovesthesun. com "" and on that point are information on the soundtrack by Mac McCaughan (Portastatic with guitar tunes and strings) where score excerpts be embody played, and behind the panorama yield note, interview with writer - director - producer Bissonnette on how the pic and concept came around, the cast and more. Have constantly appreciate Molly Parker since her spare even hypnotize performance in 1996 Lynne Stopkewich ' s ' Kissed ', and she ' s married to Bissonnette, world health organization "" wrote the Maggie parting for Molly. """
"I'd completely forgotten about this film until now. This was the most blatant and worst attempt to demonise a hobby that I have ever seen. It's message seemed to be : ""Don't teenagers use their imagination; they might take games seriously, go mad and hurt people."" I can only guess that the unimaginative writers of this piece thought that D&D style games are form of evil ritual or arcane worship.";0;"I ' d all forget astir this film until now. This cost the nigh blatant and worst try to demonise a sideline that I have ever so seen. Information technology ' s message seemed to make up: "" Don ' t teenagers use their imaging; they might rent games gravely, blend in mad and weakened citizenry. "" I can solely guess that the unimaginative writers of this piece recollect that Calciferol & D style games are form of evil ritual or arcane worship."
